,Beta_Bull,Beta_Bear
ADA_USDT,1.050337938944636,1.208092980637343
ATOM_USDT,0.9939785034062814,1.342669928498815
AVAX_USDT,1.171498054792976,1.346940228711427
BCH_USDT,1.0719070112747213,1.2209436585707265
BNB_USDT,0.8355009301697544,1.0695536704296025
BTC_USDT,1.0000000000000002,1.0
DOGE_USDT,1.2112935604341124,1.2891983108428953
DOT_USDT,1.105114440744379,1.285821875673809
EOS_USDT,1.0115573337082024,1.3134355647092044
ETC_USDT,1.032445387192879,1.3217771858893805
ETH_USDT,1.0223548002976697,1.2152862145369383
LINK_USDT,1.1124028622873152,1.401357531709138
LTC_USDT,1.0375932725203227,1.184694240500048
NEO_USDT,1.119085070357591,1.3364943157316813
SOL_USDT,1.0791810085648574,1.327976762856561
TRX_USDT,0.671775225152376,0.8605225757948926
UNI_USDT,1.0401843632468732,1.41860952014398
XLM_USDT,0.9932203414318558,1.0681180992629462
XRP_USDT,0.9472455100126076,1.1440803202309278
XTZ_USDT,1.0227892453671776,1.2849295580963174
