date,ADA_USDT,ATOM_USDT,AVAX_USDT,BCH_USDT,BNB_USDT,BTC_USDT,DOGE_USDT,DOT_USDT,EOS_USDT,ETC_USDT,ETH_USDT,LINK_USDT,LTC_USDT,NEO_USDT,SOL_USDT,TRX_USDT,UNI_USDT,XLM_USDT,XRP_USDT,XTZ_USDT
2020-09-22 00:00:00+00:00,0.08146,4.21,5.3193,220.08,24.0468,10529.61,0.0026432,4.1625,2.5718,4.9453,344.21,8.7401,44.47,20.205,2.9082,0.02499,3.9105,0.07167,0.23302,2.1072
2020-09-23 00:00:00+00:00,0.07663,3.839,3.535,207.97,22.8331,10241.46,0.0025444,4.0077,2.4423,4.8357,320.72,7.6364,42.96,19.685,2.8548,0.02486,4.38,0.0674,0.22164,1.9532
2020-09-24 00:00:00+00:00,0.08254,4.483,4.6411,216.22,24.5745,10736.32,0.0026297,4.3782,2.5337,4.9688,348.97,9.87,44.92,21.813,3.1433,0.02625,5.164,0.07043,0.23276,2.1552
2020-09-25 00:00:00+00:00,0.09693,4.791,4.7134,216.52,24.6924,10686.67,0.0027015,4.4139,2.5445,4.9772,351.92,10.7279,46.02,21.311,3.1937,0.02714,4.9145,0.07467,0.24154,2.21
2020-09-26 00:00:00+00:00,0.09547,4.607,4.52,221.32,26.1998,10728.6,0.0026972,4.3308,2.5655,5.3621,353.92,10.3169,46.03,21.004,3.1287,0.02718,4.8684,0.07385,0.24153,2.1701
2020-09-27 00:00:00+00:00,0.1013,4.727,4.6484,229.33,26.251,10774.25,0.0026954,4.2962,2.5897,5.444,357.49,10.7939,46.05,21.147,3.1578,0.02659,4.8458,0.07335,0.24334,2.1769
2020-09-28 00:00:00+00:00,0.1003,4.826,4.2021,225.75,26.9855,10696.12,0.0026504,4.4501,2.5626,5.411,353.96,10.283,45.23,20.11,2.9599,0.02625,4.2503,0.07323,0.24107,2.2449
2020-09-29 00:00:00+00:00,0.1011,5.309,4.1394,229.06,28.8946,10840.48,0.0026727,4.4969,2.5995,5.4137,359.79,10.135,45.69,19.691,2.9505,0.0263,4.3826,0.07407,0.24285,2.2305
2020-09-30 00:00:00+00:00,0.10136,5.372,4.3293,227.96,29.2656,10776.59,0.002635,4.3458,2.5777,5.3972,359.83,9.8694,46.24,19.078,2.8967,0.02621,4.1554,0.07484,0.24171,2.2004
2020-10-01 00:00:00+00:00,0.09804,5.135,4.15,228.12,27.4673,10619.13,0.0026246,4.3468,2.5446,5.3287,352.85,9.6394,46.25,18.786,2.8669,0.02581,4.2397,0.07314,0.23819,2.1922
2020-10-02 00:00:00+00:00,0.09286,4.906,3.9115,219.66,27.3369,10570.4,0.0025902,4.1282,2.4787,5.1802,345.6,9.2167,44.88,18.089,2.6232,0.0259,3.8904,0.07096,0.23386,2.0867
2020-10-03 00:00:00+00:00,0.09328,5.01,4.0168,218.53,28.1867,10542.06,0.0025955,4.0607,2.4786,5.1341,345.95,9.269,45.51,17.806,2.5439,0.02719,3.9041,0.071,0.23273,2.1143
2020-10-04 00:00:00+00:00,0.09686,5.314,3.964,220.89,28.9668,10666.63,0.002633,4.177,2.5176,5.1535,352.37,9.3922,46.69,18.125,2.5202,0.02644,3.7262,0.0729,0.24794,2.1113
