datetime,timestamp,open,high,low,close,volume
2020-01-01 00:00:00+00:00,1577836800000,1.3532,1.3745,1.3217,1.37,1197263.77
2020-01-02 00:00:00+00:00,1577923200000,1.37,1.3783,1.23,1.2428,2104119.58
2020-01-03 00:00:00+00:00,1578009600000,1.2419,1.3072,1.233,1.2785,2231454.57
2020-01-04 00:00:00+00:00,1578096000000,1.2798,1.2899,1.2216,1.2557,2072266.71
2020-01-05 00:00:00+00:00,1578182400000,1.2563,1.2808,1.2345,1.2545,1634808.71
2020-01-06 00:00:00+00:00,1578268800000,1.2547,1.34,1.2526,1.3047,2339692.45
2020-01-07 00:00:00+00:00,1578355200000,1.3031,1.3323,1.2517,1.2929,2943258.42
2020-01-08 00:00:00+00:00,1578441600000,1.2969,1.395,1.2765,1.3307,3138359.5
2020-01-09 00:00:00+00:00,1578528000000,1.3315,1.3663,1.2633,1.2811,2319186.71
2020-01-10 00:00:00+00:00,1578614400000,1.2797,1.3488,1.255,1.3064,1942752.52
2020-01-11 00:00:00+00:00,1578700800000,1.3065,1.35,1.2955,1.3041,1506803.8
2020-01-12 00:00:00+00:00,1578787200000,1.304,1.3195,1.295,1.3072,552038.21
2020-01-13 00:00:00+00:00,1578873600000,1.3071,1.3071,1.256,1.2743,1277806.35
2020-01-14 00:00:00+00:00,1578960000000,1.2743,1.3471,1.2717,1.3248,3118476.85
2020-01-15 00:00:00+00:00,1579046400000,1.3254,1.4076,1.2837,1.3453,3425836.51
2020-01-16 00:00:00+00:00,1579132800000,1.3453,1.54,1.3005,1.4936,3471285.45
2020-01-17 00:00:00+00:00,1579219200000,1.4957,1.54,1.4198,1.477,3747032.54
2020-01-18 00:00:00+00:00,1579305600000,1.4729,1.55,1.4172,1.4806,1742968.44
2020-01-19 00:00:00+00:00,1579392000000,1.4796,1.528,1.36,1.4267,2150794.6
2020-01-20 00:00:00+00:00,1579478400000,1.423,1.593,1.4068,1.5929,3214303.24
2020-01-21 00:00:00+00:00,1579564800000,1.5929,1.6195,1.498,1.536,2510293.13
2020-01-22 00:00:00+00:00,1579651200000,1.5337,1.6444,1.5278,1.5937,2156529.47
2020-01-23 00:00:00+00:00,1579737600000,1.5949,1.6263,1.4955,1.5591,3095923.93
2020-01-24 00:00:00+00:00,1579824000000,1.56,1.5709,1.4955,1.5144,1561561.46
2020-01-25 00:00:00+00:00,1579910400000,1.5123,1.545,1.4562,1.4947,1236040.65
2020-01-26 00:00:00+00:00,1579996800000,1.4918,1.53,1.4689,1.5256,905281.83
2020-01-27 00:00:00+00:00,1580083200000,1.5256,1.548,1.4854,1.5207,1516861.22
2020-01-28 00:00:00+00:00,1580169600000,1.5204,1.58,1.508,1.5508,2120790.08
2020-01-29 00:00:00+00:00,1580256000000,1.551,1.6881,1.5388,1.5698,3148389.67
2020-01-30 00:00:00+00:00,1580342400000,1.57,1.71,1.5574,1.6773,3231067.18
2020-01-31 00:00:00+00:00,1580428800000,1.6821,1.724,1.6455,1.6564,1693086.42
2020-02-01 00:00:00+00:00,1580515200000,1.6586,1.749,1.6549,1.749,1001361.56
2020-02-02 00:00:00+00:00,1580601600000,1.7483,2.0094,1.6921,1.929,4545752.51
2020-02-03 00:00:00+00:00,1580688000000,1.9261,2.1099,1.87,1.9968,5610211.92
2020-02-04 00:00:00+00:00,1580774400000,1.9966,2.04,1.8865,1.923,3626126.37
2020-02-05 00:00:00+00:00,1580860800000,1.9232,2.2329,1.9109,2.1441,5400381.76
2020-02-06 00:00:00+00:00,1580947200000,2.1441,2.25,2.1173,2.1691,3974903.51
2020-02-07 00:00:00+00:00,1581033600000,2.1692,2.264,2.1577,2.19,2557921.12
2020-02-08 00:00:00+00:00,1581120000000,2.1899,2.3197,2.01,2.2947,3120608.05
2020-02-09 00:00:00+00:00,1581206400000,2.2947,2.749,2.282,2.6423,8144445.7
2020-02-10 00:00:00+00:00,1581292800000,2.6421,2.7384,2.4614,2.622,7522374.64
2020-02-11 00:00:00+00:00,1581379200000,2.6219,2.9587,2.5452,2.9114,5927393.9
2020-02-12 00:00:00+00:00,1581465600000,2.9114,3.6089,2.9061,3.3001,12377803.6
2020-02-13 00:00:00+00:00,1581552000000,3.3001,3.392,2.9115,3.1239,8453920.85
2020-02-14 00:00:00+00:00,1581638400000,3.116,3.5576,3.0354,3.4797,6986498.81
2020-02-15 00:00:00+00:00,1581724800000,3.4786,3.5499,2.9689,3.2048,7005501.89
2020-02-16 00:00:00+00:00,1581811200000,3.2048,3.3,2.748,3.2499,7678599.84
2020-02-17 00:00:00+00:00,1581897600000,3.25,3.25,2.7528,3.1609,8414339.74
2020-02-18 00:00:00+00:00,1581984000000,3.161,3.5566,3.0892,3.4328,8915736.64
2020-02-19 00:00:00+00:00,1582070400000,3.4369,3.96,3.3394,3.5539,10763239.27
2020-02-20 00:00:00+00:00,1582156800000,3.5443,3.8999,3.4381,3.6124,12186974.5
2020-02-21 00:00:00+00:00,1582243200000,3.6102,3.76,3.3792,3.4818,7796198.54
2020-02-22 00:00:00+00:00,1582329600000,3.48,3.535,3.2415,3.2998,7279612.89
2020-02-23 00:00:00+00:00,1582416000000,3.3048,3.59,3.2992,3.52,5561240.55
2020-02-24 00:00:00+00:00,1582502400000,3.5201,3.529,2.94,3.185,10892663.75
2020-02-25 00:00:00+00:00,1582588800000,3.1832,3.1993,2.7111,2.8118,11997006.37
2020-02-26 00:00:00+00:00,1582675200000,2.807,2.99,2.526,2.7539,20893275.64
2020-02-27 00:00:00+00:00,1582761600000,2.7539,2.9954,2.47,2.8,17400746.58
2020-02-28 00:00:00+00:00,1582848000000,2.8,2.91,2.6205,2.7845,9905823.29
2020-02-29 00:00:00+00:00,1582934400000,2.7848,2.999,2.7273,2.7329,8293419.55
2020-03-01 00:00:00+00:00,1583020800000,2.7331,2.8498,2.57,2.6135,7555141.54
2020-03-02 00:00:00+00:00,1583107200000,2.6137,2.8911,2.5505,2.8001,8623136.35
2020-03-03 00:00:00+00:00,1583193600000,2.8021,2.8238,2.6388,2.7595,7966389.28
2020-03-04 00:00:00+00:00,1583280000000,2.7609,3.1,2.731,3.1,12333130.39
2020-03-05 00:00:00+00:00,1583366400000,3.1,3.3269,2.9764,3.0895,14837727.49
2020-03-06 00:00:00+00:00,1583452800000,3.0883,3.2326,3.0,3.1748,7638999.17
2020-03-07 00:00:00+00:00,1583539200000,3.1739,3.2658,2.9713,2.9857,7757181.16
2020-03-08 00:00:00+00:00,1583625600000,2.9857,2.9877,2.557,2.5894,12501897.25
2020-03-09 00:00:00+00:00,1583712000000,2.5897,2.6697,2.26,2.5396,14436618.29
2020-03-10 00:00:00+00:00,1583798400000,2.5404,2.75,2.4756,2.5943,12816586.16
2020-03-11 00:00:00+00:00,1583884800000,2.5929,2.6836,2.2807,2.5102,10472658.93
2020-03-12 00:00:00+00:00,1583971200000,2.5101,2.5237,1.2816,1.319,34346233.08
2020-03-13 00:00:00+00:00,1584057600000,1.3193,1.9498,0.95,1.7674,42775465.86
2020-03-14 00:00:00+00:00,1584144000000,1.7592,1.84,1.533,1.5859,13656877.52
2020-03-15 00:00:00+00:00,1584230400000,1.5809,1.7648,1.4249,1.5452,14590963.26
2020-03-16 00:00:00+00:00,1584316800000,1.5446,1.5446,1.12,1.3232,25566454.19
2020-03-17 00:00:00+00:00,1584403200000,1.3232,1.48,1.2851,1.3645,15960426.82
2020-03-18 00:00:00+00:00,1584489600000,1.364,1.4206,1.2823,1.3998,12819920.87
2020-03-19 00:00:00+00:00,1584576000000,1.3986,1.74,1.3567,1.6319,19257420.4
2020-03-20 00:00:00+00:00,1584662400000,1.6316,1.8802,1.48,1.6825,18832288.86
2020-03-21 00:00:00+00:00,1584748800000,1.6832,1.7669,1.5749,1.6619,12582936.72
2020-03-22 00:00:00+00:00,1584835200000,1.6596,1.7176,1.45,1.4725,11507395.78
2020-03-23 00:00:00+00:00,1584921600000,1.4721,1.6991,1.4432,1.6777,11947435.26
2020-03-24 00:00:00+00:00,1585008000000,1.6752,1.7818,1.6167,1.7611,12744951.4
2020-03-25 00:00:00+00:00,1585094400000,1.7594,1.7917,1.6427,1.711,10075575.41
2020-03-26 00:00:00+00:00,1585180800000,1.713,1.76,1.7,1.7546,4770709.83
2020-03-27 00:00:00+00:00,1585267200000,1.7553,1.7808,1.565,1.5874,7126460.8
2020-03-28 00:00:00+00:00,1585353600000,1.5853,1.6136,1.5051,1.5617,7053279.98
2020-03-29 00:00:00+00:00,1585440000000,1.5617,1.5795,1.462,1.4684,3984238.43
